,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
63113,JPN,Asia,Japan,2020-02-28,236.0,18.0,17.714,5.0,1.0,0.429,1.872,0.143,0.141,0.04,0.008,0.003,1.01,,,,,,,,,130.0,1382.0,0.011,0.001,105.0,0.001,0.169,5.9,people tested,,,,,,,,,,,,,,34.26,126050796.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,,,,
131641,OWID_UMC,,Upper middle income,2020-03-01,79964.0,601.0,422.286,2871.0,36.0,61.143,31.812,0.239,0.168,1.142,0.014,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2513672790.0,,,,,,,,,,,,,,,,,,
29558,HRV,Europe,Croatia,2020-03-02,7.0,0.0,1.0,,,0.0,1.715,0.0,0.245,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,4081657.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,,,
55523,HUN,Europe,Hungary,2020-03-03,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,9634162.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,
56854,IND,Asia,India,2020-03-03,5.0,0.0,0.286,,,0.0,0.004,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,
84869,MAR,Africa,Morocco,2020-03-03,1.0,0.0,,,,,0.027,0.0,,,,,,,,,,,,,,4.0,33.0,0.001,0.0,3.0,0.0,,,people tested,,,,,,,,,,,,,,0.0,37344787.0,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,,,,
73856,OWID_LMC,,Lower middle income,2020-03-03,2382.0,839.0,322.571,78.0,11.0,8.714,0.715,0.252,0.097,0.023,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3330652550.0,,,,,,,,,,,,,,,,,,
91833,OWID_NAM,,North America,2020-03-05,236.0,81.0,29.286,12.0,1.0,1.714,0.396,0.136,0.049,0.02,0.002,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596581283.0,,,,,,,,,,,,,,,,,,
56857,IND,Asia,India,2020-03-06,31.0,1.0,4.0,,,0.0,0.022,0.001,0.003,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.85,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,
58834,IRN,Asia,Iran,2020-03-06,4747.0,1234.0,622.714,124.0,17.0,12.857,55.828,14.513,7.324,1.458,0.2,0.151,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.59,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,
