,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
113905,SOM,Africa,Somalia,2020-12-30,4714.0,24.0,3.429,130.0,3.0,0.429,288.151,1.467,0.21,7.946,0.183,0.026,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.96,16359500.0,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,,,,
97139,PAN,North America,Panama,2020-12-31,246790.0,4046.0,3302.286,4022.0,47.0,43.857,56324.392,923.411,753.674,917.933,10.727,10.009,1.08,,,,,,,,,14423.0,1302483.0,297.263,3.292,12131.0,2.769,0.272,3.7,tests performed,,,,,,,,,,,,,,76.85,4381583.0,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,3015.6,14.46,19.77,688.244408470637
138382,ZWE,Africa,Zimbabwe,2020-12-31,13867.0,242.0,154.429,363.0,3.0,3.429,918.821,16.035,10.232,24.052,0.199,0.227,1.68,,,,,,,,,1677.0,216254.0,14.329,0.111,1623.0,0.108,0.095,10.5,tests performed,,,,,,,,,,,,,,69.44,15092171.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,
5211,ARG,South America,Argentina,2021-01-01,1629594.0,4080.0,7862.857,43319.0,74.0,128.143,35732.148,89.462,172.409,949.857,1.623,2.81,1.16,,,,,,,,,9847.0,5095364.0,111.726,0.216,34162.0,0.749,0.22,4.5,tests performed,,,,,,11070.0,,,,,243.0,,,79.17,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
5860,ARM,Asia,Armenia,2021-01-02,159798.0,60.0,349.857,2836.0,8.0,12.0,53837.975,20.215,117.871,955.484,2.695,4.043,0.63,,,,,,,,,540.0,596416.0,200.94,0.182,2147.0,0.723,0.163,6.1,tests performed,,,,,,,,,,,,,,,2968128.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,,,,
15515,BOL,South America,Bolivia,2021-01-02,162055.0,1070.0,1100.857,9186.0,11.0,13.286,13695.249,90.426,93.033,776.308,0.93,1.123,1.35,,,,,,,,,2604.0,419247.0,35.431,0.22,2681.0,0.227,0.411,2.4,tests performed,,,,,,,,,,,,,,52.78,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
36584,EGY,Africa,Egypt,2021-01-02,140878.0,1407.0,1366.143,7741.0,54.0,55.571,1351.24,13.495,13.103,74.248,0.518,0.533,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,104258327.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,
51905,GNB,Africa,Guinea-Bissau,2021-01-02,2452.0,0.0,0.714,45.0,0.0,0.0,1216.578,0.0,0.354,22.327,0.0,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
49665,GRD,North America,Grenada,2021-01-02,127.0,0.0,2.143,,,0.0,1123.745,0.0,18.961,,,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113015.0,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,,,,
100529,POL,Europe,Poland,2021-01-02,1312780.0,7006.0,8403.286,29058.0,102.0,285.286,34732.386,185.359,222.327,768.791,2.699,7.548,0.99,,,16601.0,439.215,,,,,27604.0,7015830.0,185.619,0.73,30001.0,0.794,0.28,3.6,people tested,50391.0,50391.0,,,,9678.0,0.13,0.13,,,256.0,9678.0,0.026,75.0,37797000.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,,,,
137124,YEM,Asia,Yemen,2021-01-02,2101.0,0.0,1.286,610.0,0.0,0.571,68.906,0.0,0.042,20.006,0.0,0.019,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.78,30490639.0,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,,,,
5213,ARG,South America,Argentina,2021-01-03,1640718.0,5884.0,8203.0,43482.0,107.0,118.857,35976.064,129.019,179.867,953.431,2.346,2.606,1.19,,,,,,,,,25550.0,5150833.0,112.942,0.56,34971.0,0.767,0.22,4.5,tests performed,,,,,,7400.0,,,,,162.0,,,79.17,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
2285,DZA,Africa,Algeria,2021-01-03,100408.0,249.0,308.429,2772.0,3.0,6.286,2250.462,5.581,6.913,62.129,0.067,0.141,0.73,36.0,0.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,44616626.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748,,,,
15517,BOL,South America,Bolivia,2021-01-04,163671.0,1010.0,1153.857,9219.0,18.0,16.143,13831.817,85.355,97.512,779.097,1.521,1.364,1.34,,,,,,,,,2560.0,423327.0,35.775,0.216,2833.0,0.239,0.407,2.5,tests performed,,,,,,,,,,,,,,52.78,11832936.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,,,,
108734,SEN,Africa,Senegal,2021-01-04,19803.0,106.0,153.571,424.0,3.0,4.857,1151.584,6.164,8.93,24.656,0.174,0.282,1.27,,,,,,,,,1293.0,284169.0,16.525,0.075,1448.0,0.084,0.106,9.4,tests performed,,,,,,,,,,,,,,43.52,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,,,,
123040,TZA,Africa,Tanzania,2021-01-04,509.0,0.0,0.0,21.0,0.0,0.0,8.277,0.0,0.0,0.341,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48,61498438.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,,,,
63425,JPN,Asia,Japan,2021-01-05,253534.0,4949.0,3741.143,3756.0,76.0,53.143,2011.364,39.262,29.68,29.798,0.603,0.422,1.42,,,,,,,,,88446.0,4713610.0,37.395,0.702,41077.0,0.326,0.091,11.0,people tested,,,,,,,,,,,,,,49.54,126050796.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,,,,
131951,OWID_UMC,,Upper middle income,2021-01-05,25762345.0,186907.0,151285.286,730586.0,4700.0,3672.0,10248.886,74.356,60.185,290.645,1.87,1.461,,,,,,,,,,,,,,,,,,,5437347.0,897748.0,,,21086.0,551652.0,0.22,0.04,,,219.0,117524.0,0.005,,2513672790.0,,,,,,,,,,,,,,,,,,
134893,VEN,South America,Venezuela,2021-01-05,114662.0,255.0,257.286,1042.0,4.0,3.0,3994.503,8.883,8.963,36.3,0.139,0.105,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.74,28704947.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,,,,
34628,DMA,North America,Dominica,2021-01-06,105.0,17.0,2.429,,,0.0,1454.858,235.548,33.65,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.93,72172.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,,,,
41112,OWID_EUR,,Europe,2021-01-06,25208633.0,275700.0,228580.857,571609.0,5511.0,4432.429,33658.049,368.109,305.196,763.201,7.358,5.918,,,,,,,,,,,,,,,,,,,2266072.0,2335157.0,1409.0,5.0,256431.0,270921.0,0.3,0.31,0.0,0.0,362.0,277220.0,0.037,,748962983.0,,,,,,,,,,,,,,,,,,
100533,POL,Europe,Poland,2021-01-06,1344763.0,14220.0,9049.857,30055.0,553.0,290.857,35578.564,376.22,239.433,795.169,14.631,7.695,1.06,,,17057.0,451.279,,,,,51758.0,7171108.0,189.727,1.369,38380.0,1.015,0.236,4.2,people tested,160359.0,160359.0,,,20133.0,17723.0,0.42,0.42,,,469.0,17723.0,0.047,75.0,37797000.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,,,,
54501,HND,North America,Honduras,2021-01-07,125118.0,219.0,470.143,3200.0,8.0,10.0,12433.477,21.763,46.72,317.997,0.795,0.994,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,10062994.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,,,,
29217,CIV,Africa,Cote d'Ivoire,2021-01-08,23254.0,81.0,98.714,139.0,1.0,0.143,859.552,2.994,3.649,5.138,0.037,0.005,1.38,,,,,,,,,2935.0,274288.0,10.139,0.108,1920.0,0.071,0.051,19.5,samples tested,,,,,,,,,,,,,,17.59,27053629.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,,,,
26546,COL,South America,Colombia,2021-01-08,1755568.0,18221.0,14384.0,45431.0,364.0,276.571,34244.401,355.422,280.577,886.185,7.1,5.395,1.17,,,,,,,,,66675.0,8524185.0,166.274,1.301,54375.0,1.061,0.298,3.4,tests performed,,,,,,,,,,,,,,81.02,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
50332,GTM,North America,Guatemala,2021-01-08,142064.0,990.0,546.857,4972.0,44.0,21.714,7784.385,54.247,29.965,272.44,2.411,1.19,1.16,,,,,,,,,5997.0,638650.0,34.995,0.329,4042.0,0.221,0.135,7.4,people tested,,,,,,,,,,,,,,48.61,18249868.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,,,,
63428,JPN,Asia,Japan,2021-01-08,275182.0,7957.0,5168.143,3963.0,78.0,60.286,2183.104,63.125,41.0,31.44,0.619,0.478,1.51,,,,,,,,,63373.0,4932390.0,39.13,0.503,60086.0,0.477,0.086,11.6,people tested,,,,,,,,,,,,,,49.54,126050796.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,,,,
67741,KGZ,Asia,Kyrgyzstan,2021-01-08,81991.0,165.0,119.286,1365.0,2.0,1.286,12369.751,24.893,17.996,205.934,0.302,0.194,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.67,6628347.0,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,,,,
93763,NOR,Europe,Norway,2021-01-08,54476.0,684.0,667.571,472.0,5.0,5.143,9967.014,125.146,122.14,86.358,0.915,0.941,1.08,,,131.0,23.968,,,,,27641.0,2931401.0,536.334,5.057,26712.0,4.887,0.025,40.0,people tested,23343.0,23323.0,20.0,,1663.0,2990.0,0.43,0.43,0.0,,547.0,2987.0,0.055,61.11,5465629.0,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,,,,
100536,POL,Europe,Poland,2021-01-09,1376389.0,10744.0,9087.0,31011.0,437.0,279.0,36415.298,284.255,240.416,820.462,11.562,7.382,1.02,,,,,,,,,58371.0,7336413.0,194.1,1.544,45798.0,1.212,0.198,5.0,people tested,200022.0,200022.0,,,1235.0,21376.0,0.53,0.53,,,566.0,21376.0,0.057,75.0,37797000.0,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,,,,
1639,ALB,Europe,Albania,2021-01-10,63595.0,562.0,593.857,1241.0,8.0,6.857,22135.907,195.619,206.708,431.963,2.785,2.387,1.09,,,,,,,,,2997.0,276420.0,96.215,1.043,3386.0,1.179,0.175,5.7,tests performed,0.0,0.0,,,,,0.0,0.0,,,,,,56.48,2872934.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
69024,LVA,Europe,Latvia,2021-01-10,49568.0,616.0,1010.143,849.0,31.0,24.143,26550.483,329.953,541.07,454.756,16.605,12.932,1.04,,,1079.0,577.953,116.0,62.38,918.0,491.698,6336.0,965215.0,517.005,3.394,10835.0,5.804,0.093,10.7,tests performed,7115.0,7106.0,10.0,,336.0,681.0,0.38,0.38,0.0,,365.0,680.0,0.036,57.41,1866934.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,960.4,3.29,38.18,514.426326801055
90764,NER,Africa,Niger,2021-01-10,3877.0,58.0,58.857,126.0,0.0,2.286,154.273,2.308,2.342,5.014,0.0,0.091,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,25130810.0,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,,,,
24563,TCD,Africa,Chad,2021-01-10,2537.0,27.0,46.286,107.0,0.0,0.429,149.985,1.596,2.736,6.326,0.0,0.025,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.98,16914985.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,,,,
133226,UZB,Asia,Uzbekistan,2021-01-10,77572.0,42.0,44.857,617.0,1.0,0.429,2285.848,1.238,1.322,18.181,0.029,0.013,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,,
43510,FIN,Europe,Finland,2021-01-11,38790.0,200.0,267.286,597.0,11.0,4.571,6991.254,36.047,48.174,107.599,1.983,0.824,1.0,32.0,5.767,166.0,29.919,,,,,9375.0,2608740.0,470.182,1.69,10543.0,1.9,0.025,39.4,tests performed,14196.0,,,,,1513.0,0.26,,,,273.0,,,52.31,5548361.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,,,,
46422,GEO,Asia,Georgia,2021-01-11,239780.0,551.0,1431.0,2796.0,23.0,24.0,60249.668,138.45,359.568,702.553,5.779,6.03,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,3979773.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,,,,
50335,GTM,North America,Guatemala,2021-01-11,143243.0,0.0,655.286,5025.0,0.0,27.143,7848.988,0.0,35.906,275.344,0.0,1.487,1.15,,,,,,,,,5952.0,647119.0,35.459,0.326,4324.0,0.237,0.152,6.6,people tested,,,,,,,,,,,,,,48.61,18249868.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,,,,
106832,SMR,Europe,San Marino,2021-01-11,2650.0,0.0,26.714,64.0,0.0,0.429,77918.259,0.0,785.483,1881.799,0.0,12.601,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.44,34010.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,,,,
33376,DNK,Europe,Denmark,2021-01-12,184476.0,1076.0,1577.571,1624.0,26.0,29.143,31733.428,185.093,271.373,279.359,4.473,5.013,0.69,135.0,23.223,917.0,157.742,,,,,86191.0,11455479.0,1970.563,14.827,75886.0,13.054,0.021,48.1,tests performed,,108703.0,9.0,,,,,1.87,0.0,,,6533.0,0.112,70.37,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,,,,
45771,GMB,Africa,Gambia,2021-01-12,3876.0,19.0,9.143,125.0,0.0,0.0,1558.544,7.64,3.676,50.263,0.0,0.0,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,2486937.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,
85811,MOZ,Africa,Mozambique,2021-01-12,22996.0,662.0,493.429,201.0,4.0,4.286,714.982,20.583,15.341,6.249,0.124,0.133,1.75,,,,,,,,,2468.0,293201.0,9.116,0.077,2071.0,0.064,0.238,4.2,units unclear,,,,,,,,,,,,,,50.0,32163045.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,,,,
117225,ESP,Europe,Spain,2021-01-13,2176089.0,38869.0,27649.286,52878.0,195.0,206.857,46552.127,831.508,591.489,1131.196,4.172,4.425,1.56,2744.0,58.701,18215.0,389.666,,,,,,,,,178104.0,3.81,0.155,6.4,tests performed,581638.0,581638.0,,,93516.0,58330.0,1.24,1.24,,,1248.0,58330.0,0.125,71.3,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,,,,
48733,GRC,Europe,Greece,2021-01-13,146688.0,668.0,631.571,5354.0,25.0,36.429,14144.401,64.412,60.899,516.26,2.411,3.513,0.93,,,,,,,,,34980.0,3689863.0,355.795,3.373,27839.0,2.684,0.023,44.1,samples tested,64932.0,64932.0,,,8457.0,6331.0,0.63,0.63,,,610.0,6331.0,0.061,80.56,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,,,,
55839,HUN,Europe,Hungary,2021-01-13,345710.0,1358.0,1991.714,10948.0,95.0,107.143,35883.764,140.957,206.735,1136.373,9.861,11.121,0.82,,,4870.0,505.493,,,,,18550.0,2428528.0,252.075,1.925,18391.0,1.909,0.108,9.2,tests performed,,,,,,6202.0,,,,,644.0,,,72.22,9634162.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,
62746,JAM,North America,Jamaica,2021-01-13,13852.0,92.0,74.571,317.0,2.0,1.571,4658.543,30.94,25.079,106.61,0.673,0.528,1.15,,,,,,,,,,149092.0,50.141,,914.0,0.307,0.082,12.3,samples tested,,,,,,,,,,,,,,71.3,2973462.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,,,,
106185,WSM,Oceania,Samoa,2021-01-13,2.0,0.0,0.0,,,0.0,9.993,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200144.0,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,,,,
30513,CUB,North America,Cuba,2021-01-14,16549.0,505.0,438.571,160.0,2.0,1.714,1462.249,44.621,38.752,14.137,0.177,0.151,1.41,,,,,,,,,14550.0,1663559.0,146.99,1.286,13985.0,1.236,0.031,31.9,tests performed,,,,,,,,,,,,,,78.7,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,,,,
119180,SUR,South America,Suriname,2021-01-14,7300.0,53.0,78.571,139.0,0.0,1.286,12335.29,89.558,132.767,234.877,0.0,2.173,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.59,591798.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,,,,
22332,CAN,North America,Canada,2021-01-15,702203.0,6844.0,7118.571,17856.0,170.0,144.286,18446.06,179.784,186.997,469.056,4.466,3.79,0.92,908.0,23.852,4787.0,125.749,,,,,144244.0,19713708.0,517.856,3.789,123128.0,3.234,0.058,17.3,tests performed,512870.0,493516.0,19354.0,,49020.0,35616.0,1.35,1.3,0.05,,936.0,33150.0,0.087,75.46,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,
134268,VAT,Europe,Vatican,2021-01-15,27.0,0.0,0.0,,,0.0,33251.232,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.0,,,,,,,,,,,,,75.12,,,,,
27143,COM,Africa,Comoros,2021-01-17,1592.0,15.0,63.143,45.0,4.0,3.857,1791.873,16.883,71.07,50.65,4.502,4.341,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,,,,
43516,FIN,Europe,Finland,2021-01-17,40337.0,236.0,249.571,618.0,0.0,4.571,7270.075,42.535,44.981,111.384,0.0,0.824,1.05,,,,,,,,,5160.0,2672572.0,481.687,0.93,10458.0,1.885,0.024,41.9,tests performed,,,,,,5369.0,,,,,968.0,,,52.31,5548361.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,256.4,0.44,-6.37,46.2118452638536
129231,UKR,Europe,Ukraine,2021-01-17,1198512.0,6398.0,6892.429,21767.0,130.0,160.857,27573.03,147.193,158.568,500.773,2.991,3.701,0.95,,,,,,,,,,,,,25644.0,0.59,0.269,3.7,tests performed,,,,,,,,,,,,,,63.89,43466822.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,,,,
46429,GEO,Asia,Georgia,2021-01-18,247915.0,110.0,1162.143,2958.0,25.0,23.143,62293.754,27.64,292.012,743.258,6.282,5.815,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.48,3979773.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,,,,
127812,TCA,North America,Turks and Caicos Islands,2021-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0,,,,,7954.0,222.0,0.566,,39226.0,37.312,,,,,,,,,,,,80.22,,,,,
3577,AGO,Africa,Angola,2021-01-19,19011.0,85.0,95.429,442.0,3.0,2.857,560.241,2.505,2.812,13.025,0.088,0.084,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.96,33933611.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
18430,BRN,Asia,Brunei,2021-01-19,174.0,0.0,0.0,3.0,0.0,0.0,394.082,0.0,0.0,6.795,0.0,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,,,,
23942,CAF,Africa,Central African Republic,2021-01-19,4973.0,0.0,0.0,63.0,0.0,0.0,1010.775,0.0,0.0,12.805,0.0,0.0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,,,,
32707,COD,Africa,Democratic Republic of Congo,2021-01-19,21140.0,80.0,204.714,640.0,6.0,2.143,228.842,0.866,2.216,6.928,0.065,0.023,1.05,,,,,,,,,454.0,,,0.005,541.0,0.006,0.378,2.6,samples tested,,,,,,,,,,,,,,25.0,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,,
34641,DMA,North America,Dominica,2021-01-19,110.0,0.0,0.143,,,0.0,1524.137,0.0,1.979,,,0.0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.63,72172.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,,,,
64348,JOR,Asia,Jordan,2021-01-19,316427.0,883.0,940.143,4170.0,17.0,13.429,30813.743,85.987,91.551,406.076,1.655,1.308,0.87,,,,,,,,,21930.0,3616235.0,352.15,2.136,21864.0,2.129,0.043,23.3,tests performed,,,,,,2727.0,,,,,266.0,2727.0,0.027,75.93,10269022.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,,,,
105170,LCA,North America,Saint Lucia,2021-01-19,656.0,35.0,23.714,8.0,0.0,0.429,3557.464,189.804,128.602,43.384,0.0,2.324,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184401.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,,,,
64349,JOR,Asia,Jordan,2021-01-20,317405.0,978.0,919.571,4187.0,17.0,13.714,30908.98,95.238,89.548,407.731,1.655,1.336,0.88,,,,,,,,,23315.0,3639550.0,354.42,2.27,21347.0,2.079,0.043,23.2,tests performed,,,,,,2727.0,,,,,266.0,2727.0,0.027,75.93,10269022.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,,,,
107453,STP,Africa,Sao Tome and Principe,2021-01-20,1170.0,19.0,9.286,17.0,0.0,0.0,5238.087,85.063,41.572,76.109,0.0,0.0,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223364.0,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,,,,
81361,MEX,North America,Mexico,2021-01-21,1711283.0,22339.0,17559.143,146174.0,1803.0,1179.714,13137.217,171.493,134.798,1122.152,13.841,9.056,1.04,,,,,,,,,45678.0,4199198.0,32.236,0.351,38343.0,0.294,0.39,2.6,people tested,552335.0,534317.0,18018.0,,51305.0,31765.0,0.42,0.41,0.01,,244.0,29191.0,0.022,71.76,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,,,,
87907,NPL,Asia,Nepal,2021-01-21,268646.0,336.0,300.0,1979.0,4.0,5.143,9052.965,11.323,10.11,66.689,0.135,0.173,0.82,,,,,,,,,5030.0,2031756.0,68.467,0.17,4245.0,0.143,0.071,14.2,tests performed,,,,,,,,,,,,,,57.41,29674920.0,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,,,,
27148,COM,Africa,Comoros,2021-01-22,2160.0,225.0,98.714,63.0,8.0,3.571,2431.184,253.248,111.108,70.91,9.004,4.02,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,,,,
